 CEST;NCM/ST;Descricao CEST
1200700;76050000,76051110,76051190,76051910,76051990,76052110,76052190,76052910,76052990,76140000,76141010,76141090,76149010,76149090,85440000,85441100,85441910,85441990,85444200,85444900,85446000,85447010,85447020,85447030,85447090;FIOS, CABOS (INCLUIDOS OS CABOS COAXIAIS) E OUTROS CONDUTORES, ISOLADOS OU NAO, PARA USOS ELETRICOS (INCLUIDOS OS DE COBRE OU ALUMINIO, ENVERNIZADOS OU OXIDADOS ANODICAMENTE), MESMO COM PECAS DE CONEXAO, INCLUSIVE FIOS E CABOS ELETRICOS, PARA TENSAO NAO SUPERIOR A 1000V, PARA USO NA CONSTRUCAO, FIOS E CABOS TELEFONICOS E PARA TRANSMISSAO DE DADOS, CABOS DE FIBRAS OPTICAS, CONSTITUIDOS DE FIBRAS EMBAINHADAS INDIVIDUALMENTE, MESMO COM CONDUTORES ELETRICOS OU MUNIDOS DE PECAS DE CONEXAO, CORDAS, CABOS, TRANCAS E SEMELHANTES, DE ALUMINIO, NAO ISOLADOS PARA USO ELETRICOS, EXCETO OS DE USO AUTOMOTIVO
1200800;85460000,85461000,85462000,85469000;ISOLADORES DE QUALQUER MATERIA, PARA USOS ELETRICOS
1200900;85470000,85471000,85472010,85472090,85479000;PECAS ISOLANTES INTEIRAMENTE DE MATERIAS ISOLANTES, OU COM SIMPLES PECAS METALICAS DE MONTAGEM (SUPORTES ROSCADOS, POR EXEMPLO) INCORPORADAS NA MASSA, PARA MAQUINAS, APARELHOS E INSTALACOES ELETRICAS, TUBOS ISOLADORES E SUAS PECAS DE LIGACAO, DE METAIS COMUNS, ISOLADOS INTERIORMENTE
1300100;30030000,30031011,30031012,30031013,30031014,30031015,30031019,30031020,30032011,30032019,30032021,30032029,30032031,30032032,30032039,30032041,30032049,30032051,30032052,30032059,30032061,30032062,30032063,30032069,30032071,30032072,30032073,30032079,30032091,30032092,30032093,30032094,30032095,30032099,30033100,30033911,30033912,30033913,30033914,30033915,30033916,30033917,30033918,30033919,30033921,30033922,30033923,30033924,30033925,30033926,30033927,30033929,30033931,30033932,30033933,30033934,30033935,30033936,30033937,30033939,30033981,30033982,30033991,30033992,30033994,30033995,30033999,30034010,30034020,30034030,30034040,30034050,30034090,30034100,30034200,30034300,30034910,30034920,30034930,30034940,30034950,30034990,30036000,30039011,30039012,30039013,30039014,30039015,30039016,30039017,30039019,30039021,30039022,30039023,30039024,30039029,30039031,30039032,30039033,30039034,30039035,30039036,30039037,30039038,30039039,30039041,30039042,30039043,30039044,30039045,30039046,3;MEDICAMENTOS DE REFERENCIA - POSITIVA, EXCETO PARA USO VETERINARIO
1300101;30030000,30040000;MEDICAMENTOS DE REFERENCIA - NEGATIVA, EXCETO PARA USO VETERINARIO
1300102;30030000,30040000;MEDICAMENTOS DE REFERENCIA - NEUTRA, EXCETO PARA USO VETERINARIO
1300200;30030000,30040000;MEDICAMENTOS GENERICO - POSITIVA, EXCETO PARA USO VETERINARIO
1300201;30030000,30040000;MEDICAMENTOS GENERICO - NEGATIVA, EXCETO PARA USO VETERINARIO
1300202;30030000,30040000;MEDICAMENTOS GENERICO - NEUTRA, EXCETO PARA USO VETERINARIO
1300300;30030000,30040000;MEDICAMENTOS SIMILAR - POSITIVA, EXCETO PARA USO VETERINARIO
1300301;30030000,30040000;MEDICAMENTOS SIMILAR - NEGATIVA, EXCETO PARA USO VETERINARIO
1300302;30030000,30040000;MEDICAMENTOS SIMILAR - NEUTRA, EXCETO PARA USO VETERINARIO
1300400;30030000,30040000;OUTROS TIPOS DE MEDICAMENTOS - POSITIVA, EXCETO PARA USO VETERINARIO
1300401;30030000,30040000;OUTROS TIPOS DE MEDICAMENTOS - NEGATIVA, EXCETO PARA USO VETERINARIO
1300402;30030000,30040000;OUTROS TIPOS DE MEDICAMENTOS - NEUTRA, EXCETO PARA USO VETERINARIO
1300500;30066000;PREPARACOES QUIMICAS CONTRACEPTIVAS A BASE DE HORMONIOS, DE OUTROS PRODUTOS DA POSICAO 29.37 OU DE ESPERMICIDAS - POSITIVA
1300501;30066000;PREPARACOES QUIMICAS CONTRACEPTIVAS A BASE DE HORMONIOS, DE OUTROS PRODUTOS DA POSICAO 29.37 OU DE ESPERMICIDAS - NEGATIVA
1300600;29360000,29362111,29362112,29362113,29362119,29362190,29362210,29362220,29362290,29362310,29362320,29362390,29362410,29362490,29362510,29362520,29362590,29362610,29362620,29362630,29362690,29362710,29362720,29362790,29362811,29362812,29362819,29362890,29362911,29362919,29362921,29362929,29362931,29362939,29362940,29362951,29362952,29362953,29362959,29362990,29369000;PROVITAMINAS E VITAMINAS, NATURAIS OU REPRODUZIDAS POR SINTESE (INCLUIDOS OS CONCENTRADOS NATURAIS), BEM COMO OS SEUS DERIVADOS UTILIZADOS PRINCIPALMENTE COMO VITAMINAS, MISTURADOS OU NAO ENTRE SI, MESMO EM QUAISQUER SOLUCOES - NEUTRA
1300700;30063000,30063011,30063012,30063013,30063015,30063016,30063017,30063018,30063019,30063021,30063029;PREPARACOES OPACIFICANTES (CONTRASTANTES) PARA EXAMES RADIOGRAFICOS E REAGENTES DE DIAGNOSTICO CONCEBIDOS PARA SEREM ADMINISTRADOS AO PACIENTE - POSITIVA
1300701;30063000;PREPARACOES OPACIFICANTES (CONTRASTANTES) PARA EXAMES RADIOGRAFICOS E REAGENTES DE DIAGNOSTICO CONCEBIDOS PARA SEREM ADMINISTRADOS AO PACIENTE - NEGATIVA
1300800;30020000,30021011,30021012,30021013,30021014,30021015,30021016,30021019,30021022,30021023,30021024,30021025,30021026,30021029,30021031,30021032,30021033,30021034,30021035,30021036,30021037,30021038,30021039,30021100,30021211,30021212,30021213,30021214,30021215,30021216,30021219,30021221,30021222,30021223,30021224,30021229,30021231,30021232,30021233,30021234,30021235,30021236,30021239,30021300,30021410,30021490,30021510,30021520,30021590,30021900,30022011,30022012,30022013,30022014,30022015,30022016,30022017,30022018,30022019,30022021,30022022,30022023,30022024,30022025,30022026,30022027,30022028,30022029,30023010,30023020,30023030,30023040,30023050,30023060,30023070,30023080,30023090,30029010,30029020,30029030,30029091,30029092,30029093,30029094,30029099;ANTISSORO, OUTRAS FRACOES DO SANGUE, PRODUTOS IMUNOLOGICOS MODIFICADOS, MESMO OBTIDOS POR VIA BIOTECNOLOGICA, EXCETO PARA USO VETERINARIO - POSITIVA
1300801;30020000;ANTISSORO, OUTRAS FRACOES DO SANGUE, PRODUTOS IMUNOLOGICOS MODIFICADOS, MESMO OBTIDOS POR VIA BIOTECNOLOGICA, EXCETO PARA USO VETERINARIO - NEGATIVA
1300900;30020000;VACINAS E PRODUTOS SEMELHANTES, EXCETO PARA USO VETERINARIO - POSITIVA,
1300901;30020000;VACINAS E PRODUTOS SEMELHANTES, EXCETO PARA USO VETERINARIO - NEGATIVA,
1301000;30051010;CURATIVOS (PENSOS) ADESIVOS E OUTROS ARTIGOS COM UMA CAMADA ADESIVA, IMPREGNADOS OU RECOBERTOS DE SUBSTANCIAS FARMACEUTICAS - LISTA POSITIVA
1301001;30051010;CURATIVOS (PENSOS) ADESIVOS E OUTROS ARTIGOS COM UMA CAMADA ADESIVA, IMPREGNADOS OU RECOBERTOS DE SUBSTANCIAS FARMACEUTICAS - LISTA NEGATIVA
1301100;30050000,30051020,30051030,30051040,30051050,30051090,30059011,30059012,30059019,30059020,30059090;ALGODAO, ATADURA, ESPARADRAPO, GAZES, PENSOS, SINAPISMOS, E OUTROS, ACONDICIONADOS PARA VENDA A RETALHO PARA USOS MEDICINAIS, CIRURGICOS OU DENTARIOS, NAO IMPREGNADOS OU RECOBERTOS DE SUBSTANCIAS FARMACEUTICAS - LISTA NEUTRA
1301200;40151100,40151900;LUVAS CIRURGICAS E LUVAS DE PROCEDIMENTO - NEUTRA
1301300;40141000;PRESERVATIVO U NEUTRA
1301400;90183100,90183111,90183119,90183190;SERINGAS, MESMO COM AGULHAS - NEUTRA
1301500;90183210,90183211,90183212,90183219;AGULHAS PARA SERINGAS - NEUTRA
1301600;39269090,90189099;CONTRACEPTIVOS (DISPOSITIVOS INTRAUTERINOS - DIU) - NEUTRA
1400100;70130000,70131000,70132200,70132800,70133300,70134100,70134210,70134900,70139110,70139190,70139900;OBJETOS DE VIDRO PARA SERVICO DE MESA OU DE COZINHA
1400200;70133700;OUTROS COPOS, EXCETO DE VITROCERAMICA
1400300;70134290;OBJETOS PARA SERVICO DE MESA (EXCETO COPOS) OU DE COZINHA, EXCETO DE VITROCERAMICA
1400400;39190000,39200000,39210000;LONAS PLASTICAS, EXCETO AS PARA USO NA CONSTRUCAO
1400500;39240000;ARTEFATOS DE HIGIENE/TOUCADOR DE PLASTICO, EXCETO OS PARA USO NA CONSTRUCAO
1400600;39241000;SERVICOS DE MESA E OUTROS UTENSILIOS DE MESA OU DE COZINHA, DE PLASTICO, INCLUSIVE OS DESCARTAVEIS
1400601;39241000;SERVICOS DE MESA E OUTROS UTENSILIOS DE MESA OU DE COZINHA, DE PLASTICO, DESCARTAVEIS;
1400700;69111010;ARTIGOS PARA SERVICO DE MESA OU DE COZINHA, DE PORCELANA, INCLUSIVE OS DESCARTAVEIS U ESTOJOS
1400800;69111090;ARTIGOS PARA SERVICO DE MESA OU DE COZINHA, DE PORCELANA, INCLUSIVE OS DESCARTAVEIS U AVULSOS
1400900;69120000;ARTIGOS PARA SERVICO DE MESA OU DE COZINHA, DE CERAMICA
1401000;69120000;VELAS PARA FILTROS
1401100;48232090,48232091,48232099;FILTROS DESCARTAVEIS PARA COAR CAFE OU CHA
1401200;48236000,48236100,48236900;BANDEJAS, TRAVESSAS, PRATOS, XICARAS OU CHAVENAS, TACAS, COPOS E ARTIGOS SEMELHANTES, DE PAPEL OU CARTAO
1401300;48131000;PAPEL PARA CIGARRO
1600100;40111000;PNEUS NOVOS, DOS TIPOS UTILIZADOS EM AUTOMOVEIS DE PASSAGEIROS (INCLUIDOS OS VEICULOS DE USO MISTO - CAMIONETAS E OS AUTOMOVEIS DE CORRIDA)
1600200;40110000,40112010,40112090,40113000,40116100,40116200,40116310,40116320,40116390,40116910,40116990,40117010,40117090,40118010,40118020,40118090,40119010,40119090,40119210,40119290,40119300,40119410,40119420,40119490,40119910,40119990;PNEUS NOVOS, DOS TIPOS UTILIZADOS EM CAMINHOES (INCLUSIVE PARA OS FORA-DE-ESTRADA), ONIBUS, AVIOES, MAQUINAS DE TERRAPLENAGEM, DE CONSTRUCAO E CONSERVACAO DE ESTRADAS, MAQUINAS E TRATORES AGRICOLAS, PA-CARREGADEIRA
1600300;40114000;PNEUS NOVOS PARA MOTOCICLETAS
1600400;40110000;OUTROS TIPOS DE PNEUS NOVOS, EXCETO OS ITENS CLASSIFICADOS NO CEST 16.005.00
1600500;40115000;PNEUS NOVOS DE BORRACHA DOS TIPOS UTILIZADOS EM BICICLETAS
1600600;40121000,40121100,40121200,40121300,40121900;PNEUS RECAUCHUTADOS
1600700;40129000,40129010,40129090;PROTETORES DE BORRACHA, EXCETO OS ITENS CLASSIFICADOS NO CEST 16.007.01
1600701;40129000;PROTETORES DE BORRACHA PARA BICICLETAS
1600800;40130000,40131010,40131090,40139000;CAMARAS DE AR DE BORRACHA, EXCETO OS ITENS CLASSIFICADOS NO CEST 16.009.00
1600900;40132000;CAMARAS DE AR DE BORRACHA DOS TIPOS UTILIZADOS EM BICICLETAS
1700100;17049010;CHOCOLATE BRANCO, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCLUIDOS OS OVOS DE PASCOA DE CHOCOLATE.
1700200;18063110,18063120;CHOCOLATES CONTENDO CACAU, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1700300;18063210,18063220;CHOCOLATE EM BARRAS, TABLETES OU BLOCOS OU NO ESTADO LIQUIDO, EM PASTA, EM PO, GRANULOS OU FORMAS SEMELHANTES, EM RECIPIENTES OU EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 2 KG
1700400;18069000;CHOCOLATES E OUTRAS PREPARACOES ALIMENTICIAS CONTENDO CACAU, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCLUIDOS OS ACHOCOLATADOS EM PO E OVOS DE PASCOA DE CHOCOLATE.
1700500;17049010;OVOS DE PASCOA DE CHOCOLATE BRANCO
1700501;18069000;OVOS DE PASCOA DE CHOCOLATE
1700600;18069000;ACHOCOLATADOS EM PO, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCETO OS CLASSIFICADOS NO CEST 17.006.02
1700601;18061000;CACAU EM PO, COM ADICAO DE ACUCAR OU DE OUTROS EDULCORANTES, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1KG
1700602;18069000;ACHOCOLATADOS EM PO, EM CAPSULAS
1700700;18069000;CAIXAS DE BOMBONS CONTENDO CACAU, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1700800;17049090;BOMBONS, INCLUSIVE A BASE DE CHOCOLATE BRANCO SEM CACAU
1700900;18069000;BOMBONS, BALAS, CARAMELOS, CONFEITOS, PASTILHAS E OUTROS PRODUTOS DE CONFEITARIA, CONTENDO CACAU
1701000;20090000,20091100,20091200,20091900,20092100,20092900,20093100,20093900,20094100,20094900,20095000,20096100,20096900,20097100,20097900,20099000;SUCOS DE FRUTAS OU DE PRODUTOS HORTICOLAS, MISTURA DE SUCOS
1701100;20098000,20098100,20098900,20098910,20098911,20098912,20098913,20098919,20098921,20098922,20098990;AGUA DE COCO
1701200;04021000,04021010,04021090,04022000,04022110,04022120,04022910,04029000;LEITE EM PO, BLOCOS OU GRANULOS, EXCETO CREME DE LEITE
1701300;19011020;FARINHA LACTEA
1701400;19011010;LEITE MODIFICADO PARA ALIMENTACAO DE CRIANCAS
1701500;19011030,19011090;PREPARACOES PARA ALIMENTACAO INFANTIL A BASE DE FARINHAS, GRUMOS, SEMOLAS OU AMIDOS E OUTROS
1701600;04011010,04012010;LEITE OLONGA VIDA” (UHT - OULTRA HIGH TEMPERATURE”), EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 2 LITROS
1701601;04011010,04012010;LEITE OLONGA VIDA” (UHT - OULTRA HIGH TEMPERATURE”), EM RECIPIENTE DE CONTEUDO SUPERIOR A 2 LITROS E INFERIOR OU IGUAL A 5 LITROS
1701700;04014010,04015010;LEITE EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1 LITRO
1701701;04014010,04015010;LEITE EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 LITRO E INFERIOR OU IGUAL A 5 LITROS
1701800;04011090,04012090;LEITE DO TIPO PASTEURIZADO EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1 LITRO
1701801;04011090,04012090;LEITE DO TIPO PASTEURIZADO EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 LITRO E INFERIOR OU IGUAL A 5 LITROS
1701900;04014020,04014021,04014029,04022130,04022930,04029000;CREME DE LEITE, EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1701901;04014020,04022130,04022930,04029000;CREME DE LEITE, EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 KG
1701902;04011000,04012000,04015000,04015021,04015029,04021000,04022920;OUTROS CREMES DE LEITE, EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1KG
1702000;04029000,04029100,04029900;LEITE CONDENSADO, EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1702001;04029000;LEITE CONDENSADO, EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 KG
1702100;04030000,04031000,40300000;IOGURTE E LEITE FERMENTADO EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 2 LITROS
1702101;04030000,40300000;IOGURTE E LEITE FERMENTADO EM RECIPIENTE DE CONTEUDO SUPERIOR A 2 LITROS
1702200;04039000;COALHADA
1702300;04060000,04062000,04063000,04064000,04069010,04069020,04069030,04069090,40600000;REQUEIJAO E SIMILARES, EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702301;04060000,40600000;REQUEIJAO E SIMILARES, EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 KG
1702400;04060000,40600000;QUEIJOS, EXCETO OS DOS CEST 17.024.01, 17.024.02, 17.024.03 E 17.024.04
1702401;04061010;QUEIJO MUCARELA
1702402;04061090;QUEIJO MINAS FRESCAL
1702403;04061090;QUEIJO RICOTA
1702404;04061090;QUEIJO PETIT SUISSE
1702500;04051000;MANTEIGA, EM EMBALAGEM DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702501;04051000;MANTEIGA, EM EMBALAGEM DE CONTEUDO SUPERIOR A 1 KG
1702502;04059090;MANTEIGA DE GARRAFA
1702600;15171000;MARGARINA E CREME VEGETAL EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 500 G, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702700;15171000;MARGARINA E CREME VEGETAL, EM RECIPIENTE DE CONTEUDO SUPERIOR A 500 G E INFERIOR OU IGUAL A 1 KG, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702701;15171000;MARGARINA E CREME VEGETAL, EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 KG
1702702;15179000,15179090;OUTRAS MARGARINAS E CREMES VEGETAIS EM RECIPIENTE DE CONTEUDO INFERIOR A 1 KG, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702800;15162000;GORDURAS E OLEOS VEGETAIS E RESPECTIVAS FRACOES, PARCIAL OU TOTALMENTE HIDROGENADOS, INTERESTERIFICADOS, REESTERIFICADOS OU ELAIDINIZADOS, MESMO REFINADOS, MAS NAO PREPARADOS DE OUTRO MODO, EM RECIPIENTE DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702801;15162000;GORDURAS E OLEOS VEGETAIS E RESPECTIVAS FRACOES, PARCIAL OU TOTALMENTE HIDROGENADOS, INTERESTERIFICADOS, REESTERIFICADOS OU ELAIDINIZADOS, MESMO REFINADOS, MAS NAO PREPARADOS DE OUTRO MODO, EM RECIPIENTE DE CONTEUDO SUPERIOR A 1 KG, EXCETO AS EMBALAGENS INDIVIDUAIS DE CONTEUDO INFERIOR OU IGUAL A 10 G
1702900;19019020;DOCES DE LEITE
1703000;19041000,19049000;PRODUTOS A BASE DE CEREAIS, OBTIDOS POR EXPANSAO OU TORREFACAO
1703100;19059090;SALGADINHOS DIVERSOS
1703200;20052000,20059000;BATATA FRITA, INHAME E MANDIOCA FRITOS
1703300;20081000,20081100;AMENDOIM E CASTANHAS TIPO APERITIVO, EM EMBALAGEM DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1703301;20081000;AMENDOIM E CASTANHAS TIPO APERITIVO, EM EMBALAGEM DE CONTEUDO SUPERIOR A 1 KG
1703400;21032010;CATCHUP EM EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 650 G, EXCETO AS EMBALAGENS CONTENDO ENVELOPES INDIVIDUALIZADOS (SACHES) DE CONTEUDO INFERIOR OU IGUAL A 10 G
1703500;21039021,21039091;CONDIMENTOS E TEMPEROS COMPOSTOS, INCLUINDO MOLHO DE PIMENTA E OUTROS MOLHOS, EM EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 1 KG, EXCETO AS EMBALAGENS CONTENDO ENVELOPES INDIVIDUALIZADOS (SACHES) DE CONTEUDO INFERIOR OU IGUAL A 3 G
1703600;21031010;MOLHOS DE SOJA PREPARADOS EM EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 650 G, EXCETO AS EMBALAGENS CONTENDO ENVELOPES INDIVIDUALIZADOS (SACHES) DE CONTEUDO INFERIOR OU IGUAL A 10 G
1703700;21033010;FARINHA DE MOSTARDA EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1703800;21033021;MOSTARDA PREPARADA EM EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 650 G, EXCETO AS EMBALAGENS CONTENDO ENVELOPES INDIVIDUALIZADOS (SACHES) DE CONTEUDO INFERIOR OU IGUAL A 10 G
1703900;21039011;MAIONESE EM EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 650 G, EXCETO AS EMBALAGENS CONTENDO ENVELOPES INDIVIDUALIZADOS (SACHES) DE CONTEUDO INFERIOR OU IGUAL A 10 G
1704000;20020000,20021000,20029010,20029090;TOMATES PREPARADOS OU CONSERVADOS, EXCETO EM VINAGRE OU EM ACIDO ACETICO, EM EMBALAGENS DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1704100;21032010;MOLHOS DE TOMATE EM EMBALAGENS IMEDIATAS DE CONTEUDO INFERIOR OU IGUAL A 1 KG
1704200;17049090,19042000,19049000;BARRA DE CEREAIS
1704300;18063120,18063220,18069000;BARRA DE CEREAIS CONTENDO CACAU
1704400;11010010;FARINHA DE TRIGO ESPECIAL, EM EMBALAGEM INFERIOR OU IGUAL A 1 KG
1704401;11010010;FARINHA DE TRIGO ESPECIAL, EM EMBALAGEM SUPERIOR A 1 KG E INFERIOR A 5 KG
1704402;11010010;FARINHA DE TRIGO ESPECIAL, EM EMBALAGEM IGUAL A 5 KG
1704403;11010010;FARINHA DE TRIGO ESPECIAL, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR OU IGUAL A 25 KG
1704404;11010010;FARINHA DE TRIGO ESPECIAL, EM EMBALAGEM SUPERIOR A 25 KG E INFERIOR OU IGUAL A 50 KG
1704405;11010010;FARINHA DE TRIGO COMUM, EM EMBALAGEM IGUAL A 5 KG
1704406;11010010;FARINHA DE TRIGO COMUM, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR OU IGUAL A 25 KG
1704407;11010010;FARINHA DE TRIGO COMUM, EM EMBALAGEM SUPERIOR A 25 KG E INFERIOR OU IGUAL A 50 KG
1704408;11010010;FARINHA DE TRIGO DOMESTICA ESPECIAL, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR E IGUAL A 10 KG
1704409;11010010;FARINHA DE TRIGO DOMESTICA COM FERMENTO, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR E IGUAL A 10 KG
1704410;11010010;FARINHA DE TRIGO ESPECIAL, EM EMBALAGEM SUPERIOR A 50 KG
1704411;11010010;FARINHA DE TRIGO COMUM, EM EMBALAGEM INFERIOR OU IGUAL A 1 KG
1704412;11010010;FARINHA DE TRIGO COMUM, EM EMBALAGEM SUPERIOR A 1 KG E INFERIOR A 5 KG
1704413;11010010;FARINHA DE TRIGO COMUM, EM EMBALAGEM SUPERIOR A 50 KG
1704414;11010010;FARINHA DE TRIGO DOMESTICA ESPECIAL, EM EMBALAGEM INFERIOR OU IGUAL A 1 KG
1704415;11010010;FARINHA DE TRIGO DOMESTICA ESPECIAL, EM EMBALAGEM SUPERIOR A 1 KG E INFERIOR A 5 KG
1704416;11010010;FARINHA DE TRIGO DOMESTICA ESPECIAL, EM EMBALAGEM IGUAL A 5 KG
1704417;11010010;FARINHA DE TRIGO DOMESTICA ESPECIAL, EM EMBALAGEM SUPERIOR A 10 KG
1704418;11010010;FARINHA DE TRIGO DOMESTICA COM FERMENTO, EM EMBALAGEM INFERIOR OU IGUAL A 1 KG
1704419;11010010;FARINHA DE TRIGO DOMESTICA COM FERMENTO, EM EMBALAGEM SUPERIOR A 1 KG E INFERIOR A 5 KG
1704420;11010010;FARINHA DE TRIGO DOMESTICA COM FERMENTO, EM EMBALAGEM IGUAL A 5 KG
1704421;11010010;FARINHA DE TRIGO DOMESTICA COM FERMENTO, EM EMBALAGEM SUPERIOR A 10 KG
1704422;11010010;OUTRAS FARINHAS DE TRIGO, EM EMBALAGEM INFERIOR OU IGUAL A 1 KG
1704423;11010010;OUTRAS FARINHAS DE TRIGO, EM EMBALAGEM SUPERIOR A 1 KG E INFERIOR A 5 KG
1704424;11010010;OUTRAS FARINHAS DE TRIGO, EM EMBALAGEM IGUAL A 5 KG
1704425;11010010;OUTRAS FARINHAS DE TRIGO, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR OU IGUAL A 25 KG
1704426;11010010;OUTRAS FARINHAS DE TRIGO, EM EMBALAGEM SUPERIOR A 25 KG E INFERIOR OU IGUAL A 50 KG
1704427;11010010;OUTRAS FARINHAS DE TRIGO, EM EMBALAGEM SUPERIOR A 50 KG
1704500;11010020;FARINHA DE MISTURA DE TRIGO COM CENTEIO (METEIL)
1704600;19012000,19019090;MISTURAS E PREPARACOES PARA BOLOS, EM EMBALAGEM INFERIOR 5 KG
1704601;19012000,19019090;MISTURAS E PREPARACOES PARA BOLOS, EM EMBALAGEM IGUAL A 5 KG
1704602;19012000,19019090;MISTURAS E PREPARACOES PARA BOLOS, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR OU IGUAL A 25 KG
1704603;19012000,19019090;MISTURAS E PREPARACOES PARA BOLOS, EM EMBALAGEM SUPERIOR A 25 KG E INFERIOR OU IGUAL A 50 KG
1704604;19012000,19019090;MISTURAS E PREPARACOES PARA BOLOS, EM EMBALAGEM SUPERIOR A 50 KG
1704605;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM MENOS DE 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM INFERIOR A 5 KG
1704606;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM MENOS DE 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM IGUAL A 5 KG
1704607;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM MENOS DE 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR OU IGUAL A 25 KG
1704608;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM MENOS DE 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM SUPERIOR A 25 KG E INFERIOR OU IGUAL A 50 KG
1704609;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM MENOS DE 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM SUPERIOR A 50 KG
1704610;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM, NO MINIMO, 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM INFERIOR A 5 KG
1704611;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM, NO MINIMO, 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM IGUAL A 5 KG
1704612;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM, NO MINIMO, 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM SUPERIOR A 5 KG E INFERIOR OU IGUAL A 25 KG
1704613;19012000,19019090;MISTURAS E PREPARACOES PARA PAES COM, NO MINIMO, 80% DE FARINHA DE TRIGO NA SUA COMPOSICAO FINAL, EM EMBALAGEM SUPERIOR A 25 KG E INFERIOR OU IGUAL A 50 KG
